"Size","Time (ms)"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","1"
"17","1"
"18","2"
"19","0"
"20","1"
"21","0"
"22","0"
"23","1"
"24","0"
"25","0"
"26","0"
"27","0"
"28","1"
"29","0"
"30","0"
"31","0"
"32","0"
"33","2"
"34","2"
"35","2"
"36","2"
"37","2"
"38","1"
"39","0"
"40","0"
"41","0"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","2"
"51","1"
"52","1"
"53","1"
"54","0"
"55","0"
"56","0"
"57","0"
"58","1"
"59","0"
"60","0"
"61","1"
"62","0"
"63","0"
"64","0"
"65","5"
"66","5"
"67","4"
"68","3"
"69","2"
"70","2"
"71","2"
"72","3"
"73","2"
"74","4"
"75","3"
"76","3"
"77","3"
"78","3"
"79","4"
"80","3"
"81","3"
"82","3"
"83","5"
"84","5"
"85","4"
"86","3"
"87","3"
"88","4"
"89","4"
"90","4"
"91","3"
"92","3"
"93","3"
"94","5"
"95","6"
"96","5"
"97","3"
"98","3"
"99","4"
"100","3"
"101","3"
"102","3"
"103","3"
"104","3"
"105","5"
"106","3"
"107","3"
"108","3"
"109","3"
"110","4"
"111","3"
"112","4"
"113","6"
"114","6"
"115","5"
"116","10"
"117","5"
"118","4"
"119","5"
"120","5"
"121","4"
"122","4"
"123","4"
"124","6"
"125","5"
"126","6"
"127","5"
"128","4"
"129","37"
"130","25"
"131","33"
"132","27"
"133","25"
"134","34"
"135","25"
"136","25"
"137","34"
"138","32"
"139","29"
"140","24"
"141","25"
"142","23"
"143","29"
"144","38"
"145","27"
"146","24"
"147","28"
"148","24"
"149","25"
"150","24"
"151","24"
"152","26"
"153","45"
"154","35"
"155","37"
"156","47"
"157","27"
"158","28"
"159","42"
"160","27"
"161","30"
"162","27"
"163","33"
"164","28"
"165","28"
"166","30"
"167","28"
"168","31"
"169","28"
"170","25"
"171","27"
"172","29"
"173","29"
"174","32"
"175","26"
"176","26"
"177","28"
"178","27"
"179","25"
"180","25"
"181","27"
"182","25"
"183","26"
"184","24"
"185","23"
"186","27"
"187","26"
"188","26"
"189","25"
"190","26"
"191","25"
"192","25"
"193","26"
"194","27"
"195","26"
"196","27"
"197","26"
"198","25"
"199","24"
"200","23"
"201","25"
"202","25"
"203","26"
"204","25"
"205","25"
"206","26"
"207","24"
"208","23"
"209","24"
"210","24"
"211","26"
"212","24"
"213","25"
"214","26"
"215","24"
"216","23"
"217","28"
"218","23"
"219","24"
"220","27"
"221","23"
"222","24"
"223","23"
"224","23"
"225","24"
"226","22"
"227","24"
"228","25"
"229","28"
"230","28"
"231","29"
"232","26"
"233","25"
"234","26"
"235","26"
"236","26"
"237","24"
"238","26"
"239","27"
"240","26"
"241","23"
"242","24"
"243","25"
"244","26"
"245","27"
"246","26"
"247","27"
"248","25"
"249","25"
"250","25"
"251","27"
"252","26"
"253","27"
"254","24"
"255","24"
"256","21"
"257","290"
"258","297"
"259","258"
"260","280"
"261","284"
"262","262"
"263","271"
"264","291"
"265","292"
"266","287"
"267","273"
"268","271"
"269","268"
"270","271"
"271","272"
"272","280"
"273","344"
"274","284"
"275","303"
"276","278"
"277","272"
"278","288"
"279","286"
"280","234"
"281","222"
"282","224"
"283","266"
"284","265"
"285","269"
"286","249"
"287","267"
"288","294"
"289","330"
"290","284"
"291","282"
"292","269"
"293","223"
"294","299"
"295","262"
"296","258"
"297","257"
"298","287"
"299","217"
"300","263"
"301","293"
"302","280"
"303","256"
"304","271"
"305","275"
"306","267"
"307","270"
"308","264"
"309","251"
"310","257"
"311","253"
"312","266"
"313","271"
"314","255"
"315","276"
"316","270"
"317","265"
"318","266"
"319","272"
"320","273"
"321","261"
"322","274"
"323","276"
"324","288"
"325","280"
"326","284"
"327","286"
"328","270"
"329","283"
"330","282"
"331","300"
"332","274"
"333","259"
"334","281"
"335","277"
"336","254"
"337","250"
"338","280"
"339","243"
"340","226"
"341","232"
"342","292"
"343","271"
"344","272"
"345","238"
"346","304"
"347","281"
"348","257"
"349","280"
"350","291"
"351","248"
"352","242"
"353","270"
"354","285"
"355","279"
"356","286"
"357","301"
"358","272"
"359","281"
"360","286"
"361","284"
"362","256"
"363","256"
"364","269"
"365","254"
"366","259"
"367","279"
"368","302"
"369","281"
"370","279"
"371","277"
"372","269"
"373","258"
"374","293"
"375","277"
"376","262"
"377","269"
"378","262"
"379","292"
"380","270"
"381","266"
"382","279"
"383","280"
"384","273"
"385","276"
"386","285"
"387","276"
"388","258"
"389","271"
"390","277"
"391","223"
"392","259"
"393","262"
"394","238"
"395","218"
"396","222"
"397","274"
"398","312"
"399","273"
"400","253"
"401","266"
"402","279"
"403","272"
"404","262"
"405","266"
"406","225"
"407","242"
"408","275"
"409","286"
"410","220"
"411","290"
"412","303"
"413","301"
"414","299"
"415","288"
"416","311"
"417","284"
"418","270"
"419","273"
"420","308"
"421","255"
"422","280"
"423","327"
"424","302"
"425","297"
"426","304"
"427","289"
"428","280"
"429","276"
"430","291"
"431","286"
"432","273"
"433","283"
"434","274"
"435","276"
"436","276"
"437","298"
"438","300"
"439","289"
"440","271"
"441","277"
"442","229"
"443","266"
"444","289"
"445","233"
"446","220"
"447","287"
"448","276"
"449","256"
"450","269"
"451","365"
"452","263"
"453","274"
"454","268"
"455","277"
"456","252"
"457","252"
"458","289"
"459","298"
"460","265"
"461","259"
"462","277"
"463","270"
"464","257"
"465","255"
"466","265"
"467","281"
"468","263"
"469","261"
"470","288"
"471","263"
"472","263"
"473","267"
"474","297"
"475","271"
"476","222"
"477","290"
"478","298"
"479","280"
"480","279"
"481","292"
"482","269"
"483","290"
"484","294"
"485","291"
"486","278"
"487","263"
"488","251"
"489","275"
"490","236"
"491","268"
"492","266"
"493","222"
"494","229"
"495","273"
"496","271"
"497","246"
"498","342"
"499","275"
"500","299"
"501","282"
"502","281"
"503","313"
"504","276"
"505","289"
"506","217"
"507","287"
"508","264"
"509","290"
"510","270"
"511","284"
"512","278"
"513","3700"
"514","3937"
"515","3642"
"516","3775"
"517","3786"
"518","3872"
"519","4026"
"520","3455"
"521","2784"
"522","4218"
"523","3749"
"524","4149"
"525","3905"
"526","3066"
"527","4056"
"528","3977"
"529","4212"
"530","4007"
"531","4031"
"532","4060"
"533","4414"
"534","4290"
"535","3575"
"536","2782"
"537","3846"
"538","3279"
"539","3963"
"540","3753"
"541","3593"
"542","4503"
"543","3953"
"544","4136"
"545","4322"
"546","3838"
"547","4066"
"548","4044"
"549","4182"
"550","3639"
"551","2758"
"552","4055"
"553","3782"
"554","3972"
"555","3999"
"556","3512"
"557","3954"
"558","3955"
"559","4013"
"560","4265"
"561","3904"
"562","3829"
"563","3751"
"564","3901"
"565","3436"
"566","2761"
"567","3952"
"568","3642"
"569","4444"
"570","4327"
"571","3802"
"572","2934"
"573","3496"
"574","3296"
"575","3393"
"576","2976"
"577","3181"
"578","3588"
"579","3398"
"580","3241"
"581","3298"
"582","3631"
"583","3164"
"584","3595"
"585","3414"
"586","3274"
"587","2727"
"588","2524"
"589","3213"
"590","3365"
"591","3387"
"592","3524"
"593","3978"
"594","3760"
"595","3696"
"596","8023"
"597","3965"
"598","3620"
"599","3683"
"600","3008"
"601","3549"
"602","2866"
"603","2840"
"604","2662"
"605","2865"
"606","2451"
"607","2563"
"608","2625"
"609","2684"
"610","3151"
"611","2380"
"612","2458"
"613","3193"
"614","3165"
"615","2875"
"616","2839"
"617","2731"
"618","2787"
"619","2674"
"620","2668"
"621","2947"
"622","3275"
"623","3599"
"624","2894"
"625","2442"
"626","2533"
"627","3686"
"628","4077"
"629","3651"
"630","3214"
"631","3728"
"632","3932"
"633","3825"
"634","3450"
"635","3390"
"636","3620"
"637","3750"
"638","3522"
"639","3698"
"640","3327"
"641","3302"
"642","3509"
"643","3378"
"644","3624"
"645","3477"
"646","3708"
"647","3320"
"648","3701"
"649","3357"
"650","3374"
"651","3904"
"652","3969"
"653","3236"
"654","3302"
"655","3337"
"656","3499"
"657","3407"
"658","3594"
"659","3415"
"660","3405"
"661","3273"
"662","3675"
"663","3589"
"664","3823"
"665","4152"
"666","3965"
"667","3328"
"668","3410"
"669","3410"
"670","3902"
"671","3400"
"672","3750"
"673","3306"
"674","3512"
"675","4012"
"676","4286"
"677","3429"
"678","3437"
"679","3567"
"680","3504"
"681","3232"
"682","3583"
"683","3559"
"684","3671"
"685","3760"
"686","3724"
"687","4046"
"688","3737"
"689","3445"
"690","3791"
"691","3493"
"692","3379"
"693","3771"
"694","3420"
"695","3519"
"696","3780"
"697","3470"
"698","3559"
"699","3637"
"700","3890"
"701","3340"
"702","3379"
"703","3481"
"704","3382"
"705","3814"
"706","3625"
"707","3398"
"708","3329"
"709","3345"
"710","3476"
"711","3468"
"712","3875"
"713","3263"
"714","3742"
"715","3941"
"716","3511"
"717","3631"
"718","3389"
"719","3648"
"720","4215"
"721","3806"
"722","3810"
"723","3364"
"724","3448"
"725","4061"
"726","3400"
"727","3367"
"728","3420"
"729","3484"
"730","3395"
"731","3980"
"732","3982"
"733","3476"
"734","3579"
"735","3455"
"736","4112"
"737","3267"
"738","3609"
"739","3516"
"740","3542"
"741","3776"
"742","3479"
"743","3594"
"744","3915"
"745","4076"
"746","3269"
"747","3356"
"748","3644"
"749","3605"
"750","3455"
"751","3179"
"752","3257"
"753","3538"
"754","3424"
"755","3604"
"756","3543"
"757","4139"
"758","3386"
"759","3473"
"760","3646"
"761","3350"
"762","3377"
"763","3462"
"764","3421"
"765","3264"
"766","3579"
"767","3655"
"768","4205"
"769","3320"
"770","3356"
"771","3339"
"772","3320"
"773","3353"
"774","3751"
"775","3791"
"776","3147"
"777","3549"
"778","3378"
"779","3513"
"780","3753"
"781","3870"
"782","3483"
"783","3663"
"784","3665"
"785","3437"
"786","4107"
"787","3498"
"788","3515"
"789","3347"
"790","3861"
"791","3226"
"792","3735"
"793","3189"
"794","3305"
"795","3786"
"796","3425"
"797","4048"
"798","3430"
"799","3353"
"800","3679"
"801","3356"
"802","3232"
"803","3574"
"804","3937"
"805","3600"
"806","3374"
"807","3287"
"808","3300"
"809","4057"
"810","3753"
"811","3489"
"812","3263"
"813","3298"
"814","3536"
"815","3389"
"816","3368"
"817","3774"
"818","3304"
"819","3694"
"820","3205"
"821","3961"
"822","3418"
"823","3280"
"824","3584"
"825","3654"
"826","3894"
"827","3978"
"828","3192"
"829","3649"
"830","3705"
"831","3389"
"832","3595"
"833","3858"
"834","3251"
"835","3382"
"836","3242"
"837","3534"
"838","4520"
"839","4012"
"840","4419"
"841","3775"
"842","3429"
"843","4073"
"844","3718"
"845","4248"
"846","3961"
"847","3751"
"848","3774"
"849","4171"
"850","4073"
"851","3925"
"852","3912"
"853","3464"
"854","3547"
"855","3365"
"856","3706"
"857","3598"
"858","3648"
"859","3713"
"860","3215"
"861","3871"
"862","3348"
"863","3351"
"864","3506"
"865","3359"
"866","3309"
"867","3357"
"868","3670"
"869","3512"
"870","3419"
"871","3484"
"872","3327"
"873","3675"
"874","3393"
"875","3256"
"876","3461"
"877","3132"
"878","3591"
"879","3325"
"880","3633"
"881","3223"
"882","3228"
"883","3315"
"884","3247"
"885","3316"
"886","3314"
"887","3470"
"888","3520"
"889","3288"
"890","3709"
"891","3951"
"892","3228"
"893","3742"
"894","3236"
"895","3285"
"896","3188"
"897","3160"
"898","3468"
"899","3358"
"900","3305"
"901","3354"
"902","3226"
"903","3490"
"904","3348"
"905","3626"
"906","3727"
"907","3258"
"908","3297"
"909","3907"
"910","3572"
"911","3894"
"912","3483"
"913","3485"
"914","3531"
"915","3436"
"916","3245"
"917","3689"
"918","3613"
"919","3554"
"920","3740"
"921","3384"
"922","3259"
"923","3469"
"924","3594"
"925","3457"
"926","3287"
"927","3871"
"928","3197"
"929","3613"
"930","3668"
"931","3280"
"932","3921"
"933","3378"
"934","3333"
"935","3917"
"936","3807"
"937","3339"
"938","3332"
"939","3692"
"940","3416"
"941","3642"
"942","3408"
"943","3799"
"944","3460"
"945","3437"
"946","3419"
"947","3562"
"948","3921"
"949","3350"
"950","3506"
"951","3513"
"952","3215"
"953","3282"
"954","3415"
"955","3192"
"956","3155"
"957","3316"
"958","3355"
"959","3366"
"960","3835"
"961","3312"
"962","3332"
"963","3707"
"964","3341"
"965","3215"
"966","3260"
"967","3187"
"968","3325"
"969","3376"
"970","3625"
"971","3081"
"972","3473"
"973","3338"
"974","3393"
"975","3572"
"976","3366"
"977","3262"
"978","3296"
"979","3842"
"980","3298"
"981","3611"
"982","2965"
"983","3648"
"984","3783"
"985","3275"
"986","3726"
"987","3577"
"988","3484"
"989","3911"
"990","3379"
"991","3347"
"992","3584"
"993","3167"
"994","3612"
"995","3834"
"996","3265"
"997","3601"
"998","3592"
"999","3311"
"1000","4119"
"1001","3372"
"1002","3401"
"1003","3573"
"1004","3399"
"1005","3366"
"1006","3466"
"1007","3306"
"1008","3534"
"1009","4023"
"1010","3386"
"1011","3621"
"1012","3343"
"1013","3727"
"1014","3319"
"1015","3353"
"1016","3475"
"1017","3941"
"1018","3437"
"1019","3654"
"1020","3170"
"1021","3216"
"1022","3338"
"1023","3435"
"1024","3300"
"1025","113146"
"1026","107715"
"1027","107814"
"1028","108207"
"1029","107672"
"1030","107422"
"1031","106491"
"1032","108429"
"1033","109353"
"1034","107800"
"1035","106819"
"1036","124716"
